Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
SELF,"Global Self Storage, Inc.",4.05,31155127.2,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/self
SEM,Select Medical Holdings Corporation,20,2706637280,n/a,2009,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/sem
SEMG,Semgroup Corporation,19.07,1507266464,n/a,n/a,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/semg
SEND,"SendGrid, Inc.",44.45,2093096760,n/a,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/send
SENEA,Seneca Foods Corp.,35.63,347195537.4,n/a,n/a,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/senea
SENEB,Seneca Foods Corp.,34,331312048,n/a,n/a,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/seneb
SENS,"Senseonics Holdings, Inc.",3.97,698826237.2,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/sens
SEP,"Spectra Energy Partners, LP",36.59,17742376510,n/a,2007,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/sep
SERV,"ServiceMaster Global Holdings, Inc.",43.37,5879144128,n/a,2014,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/serv
SES,"Synthesis Energy Systems, Inc.",1.335,14684189.66,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ses
SESN,"Sesen Bio, Inc.",1.855,142855403.1,n/a,2014,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/sesn
SF,Stifel Financial Corporation,50.44,3591433470,n/a,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/sf
SF^A,Stifel Financial Corporation,25.15,0,n/a,n/a,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/sf^a
SFB,Stifel Financial Corporation,22.18,0,n/a,2017,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/sfb
SFBC,"Sound Financial Bancorp, Inc.",35.9977,91427462.43,n/a,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/sfbc
SFBS,"ServisFirst Bancshares, Inc.",37.69,2003778787,n/a,2014,Finance,Major Banks,https://www.nasdaq.com/symbol/sfbs
SFE,"Safeguard Scientifics, Inc.",8.5,175501013,n/a,n/a,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/sfe
SFET,Safe-T Group Ltd.,7.5,4088010,545068,2018,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/sfet
SFIX,"Stitch Fix, Inc.",27,2676589056,n/a,2017,Consumer Services,Catalog/Specialty Distribution,https://www.nasdaq.com/symbol/sfix
SFL,Ship Finance International Limited,12.61,1505294337,n/a,n/a,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/sfl
SFLY,"Shutterfly, Inc.",58,1944972000,n/a,2006,Miscellaneous,Other Consumer Services,https://www.nasdaq.com/symbol/sfly
SFM,"Sprouts Farmers Market, Inc.",27.16,3465720186,n/a,2013,Consumer Services,Food Chains,https://www.nasdaq.com/symbol/sfm
SFNC,Simmons First National Corporation,27.74,2560072282,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/sfnc
SFS,Smart,5.11,387944235.1,n/a,2014,Consumer Services,Food Chains,https://www.nasdaq.com/symbol/sfs
SFST,"Southern First Bancshares, Inc.",37.39,277645876.1,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/sfst
SFUN,Fang Holdings Limited,1.92,854266358.4,n/a,2010,Technology,EDP Services,https://www.nasdaq.com/symbol/sfun
